id,name,street,city,state,country,house,longitude,latitude,venue_id,created_time,routing_context
1,,,,,,,-76606521,39287410,,1420410164,
2,,,,,,,-76584602,39292434,,1420410164,
3,,,,,,,-81525238,41475082,,1420410164,
4,Cahill Centre for Astronomy,East California Boulevard,Pasadena,CA,United States,,-118126106,34135677,googlePlaces.ChIJd4a8sqfEwoARScIre-a08lM,1423789932,
5,Cahill Centre for Astronomy,"East California Boulevard, Pasadena",,,,,-118126106,34135677,googlePlaces.ChIJd4a8sqfEwoARScIre-a08lM,1423790036,
6,Cahill Centre for Astronomy,"East California Boulevard, Pasadena",,,,,-118126106,34135677,googlePlaces.ChIJd4a8sqfEwoARScIre-a08lM,1423792086,
7,4184 Willamette Ave,Willamette Ave,San Diego,CA,United States,4184,-117200881,32829421,googlePlaces.ChIJ8_jaEl8A3IARtmNx0Cy0CX4,1423792175,
8,South Beach Bar & Grille,Newport Avenue,San Diego,CA,,5059,-117252334,32747451,googlePlaces.ChIJ_3X1Wjqq3oAR-pv1hxYw-f4,1423962494,
9,3501 St Paul St,St Paul St,Baltimore,MD,United States,3501,-76615745,39330421,googlePlaces.ChIJ6aG_A-sEyIkRqpd_cLwifoI,1427069877,
10,52 Deer Run Rd,Deer Run Road,Glade Valley,NC,United States,52,-81005325,36407283,googlePlaces.ChIJBYg9XNyaUYgR2VQxeJjlbCs,1432306844,
11,52 Deer Run Rd,"Deer Run Rd, Glade Valley",,,,,-81005325,36407283,googlePlaces.ChIJBYg9XNyaUYgR2VQxeJjlbCs,1435861295,
12,52 Deer Run Rd,"Deer Run Rd, Glade Valley",,,,,-81005325,36407283,googlePlaces.ChIJBYg9XNyaUYgR2VQxeJjlbCs,1435861295,
13,21899 Rye Rd,Rye Road,Shaker Heights,OH,United States,21899,-81525238,41475082,googlePlaces.ChIJEV_EomX9MIgRsNZMXLPkRrQ,1436561810,
14,21899 Rye Rd,"Rye Rd, Shaker Heights",,,,,-81525238,41475078,googlePlaces.ChIJEV_EomX9MIgRsNZMXLPkRrQ,1436561851,
15,21899 Rye Rd,"Rye Rd, Shaker Heights",,,,,-81525238,41475078,googlePlaces.ChIJEV_EomX9MIgRsNZMXLPkRrQ,1436561851,
16,741 Flannery St,Flannery Street,Santa Clara,CA,United States,741,-121981048,37336406,googlePlaces.ChIJ8xxxrmTKj4ARlkCYocfyhIM,1436710452,
17,501 Harrison Ave,Harrison Ave,Jeannette,PA,,501,-79605812,40332271,googlePlaces.ChIJJZsmjdXENIgRNpW3FJWscFk,1437824838,
18,Bushy Run Battlefield,Bushy Run Road,Jeannette,PA,United States,1253,-79623542,40356685,googlePlaces.ChIJIay3fevENIgRxoP3eEe5KUA,1437834225,
19,1935 Gough St,Gough St,Baltimore,MD,United States,1935,-76589111,39287628,googlePlaces.ChIJkXv3KnkEyIkRGLr72uBzbnw,1437944403,
20,21899 Rye Rd,"Rye Rd, Shaker Heights",,,,,-81525238,41475078,googlePlaces.ChIJEV_EomX9MIgRsNZMXLPkRrQ,1442662172,
21,21899 Rye Rd,"Rye Rd, Shaker Heights",,,,,-81525238,41475078,googlePlaces.ChIJEV_EomX9MIgRsNZMXLPkRrQ,1442662172,
22,21899 Rye Rd,"Rye Rd, Shaker Heights",,,,,-81525238,41475078,googlePlaces.ChIJEV_EomX9MIgRsNZMXLPkRrQ,1442677304,
23,52 Deer Run Rd,Deer Run Road,Glade Valley,NC,,52,-81005325,36407283,googlePlaces.ChIJBYg9XNyaUYgR2VQxeJjlbCs,1446840222,
24,52 Deer Run Rd,"Deer Run Rd, Glade Valley",,,,,-81005325,36407283,googlePlaces.ChIJBYg9XNyaUYgR2VQxeJjlbCs,1446847150,
25,52 Deer Run Rd,"Deer Run Rd, Glade Valley",,,,,-81005325,36407283,googlePlaces.ChIJBYg9XNyaUYgR2VQxeJjlbCs,1446847150,
26,52 Deer Run Rd,"Deer Run Rd, Glade Valley",,,,,-81005325,36407283,googlePlaces.ChIJBYg9XNyaUYgR2VQxeJjlbCs,1446847150,
27,52 Deer Run Rd,"Deer Run Rd, Glade Valley",,,,,-81005325,36407283,googlePlaces.ChIJBYg9XNyaUYgR2VQxeJjlbCs,1446853566,
28,Baltimore/Washington International Thurgood Marshall Airport (BWI),Friendship Rd,,Maryland,US,7050,-76668827,39179709,venues.185663880.1856835406.424158,1447008544,
29,Walmart,,Elkin,NC,,,-80832787,36276150,venues.182976875.1829572140.450254,1448071775,
30,12668 Mandarin Rd,Mandarin Road,Jacksonville,FL,,12668,-81665328,30161472,googlePlaces.ChIJT4rNGTfP5YgRurhWcQqleLk,1448304919,
31,Target,Glynn Isles,Brunswick,Georgia,,200,-81480032,31201143,venues.182518072.1825311792.642448,1448322165,
32,52 Deer Run Rd,,,,,,-81005325,36407283,googlePlaces.ChIJBYg9XNyaUYgR2VQxeJjlbCs,1448750692,
33,52 Deer Run Rd,,,,,,-81005325,36407283,googlePlaces.ChIJBYg9XNyaUYgR2VQxeJjlbCs,1448750692,
34,52 Deer Run Rd,,,,,,-81005325,36407283,googlePlaces.ChIJBYg9XNyaUYgR2VQxeJjlbCs,1448754053,
35,Taco Bell,U.S. 17,Richmond Hill,GA,,4585,-81335357,31924055,googlePlaces.ChIJz4eOzYEP-4gR63-ooRoc4vU,1448755402,
36,32nd Street,32nd Street,Brooklyn,NY,United States,,-74003929,40657665,googlePlaces.ChIJE6QbrsFawokR8OqXO1Ho7Ao,1449873891,
37,,W Pratt St,Baltimore,MD,United States,511,-76622528,39286254,waze.street-1424041.511,1450044178,
38,Oakland Cemetery,4801 San Jose Blvd,Jacksonville,,,,-81647842,30269515,venues.182452527.1824197587.1319976,1455201383,
